,NCTId,ExclusionCriteriaEmbedClean,Correct,TopicName,Topics,TopicProbs
404,NCT05263037,members household,N,disorder_history_use_months_current_disease_severe_prior_treatment_heart,0,0.718996674
433,NCT04394754,incarceration,N,disorder_history_use_months_current_disease_severe_prior_treatment_heart,0,1
125,NCT03528174,hematocrit 36  men  32  women.,N,pregnant_pregnancy_women_planning_breastfeeding_female_feeding_breast_potential_child,1,0.897479848
343,NCT04479735,refuses lidocaine 2.5 prilocaine 2.5  cream use excluded study.,N,disorder_history_use_months_current_disease_severe_prior_treatment_heart,0,0.898906161
344,NCT05293275,injury eyes  face neck impedes comfortable use virtual reality ,N,pregnant_pregnancy_women_planning_breastfeeding_female_feeding_breast_potential_child,1,0.954589453
225,NCT04797611,agree use approved contraception method entirety trial,N,disorder_history_use_months_current_disease_severe_prior_treatment_heart,0,1
404,NCT05263037,injury eyes  face  neck prevents comfortable use vr.,N,pregnant_pregnancy_women_planning_breastfeeding_female_feeding_breast_potential_child,1,1
220,NCT04906603,loss consciousness greater 30 minutes,N,mmhg_blood_pressure_ml_60_diastolic_hba1c_min_tsh_cm,3,0.955666066
371,NCT04230486,volunteers unable complete tasks understand instructions,N,disorder_history_use_months_current_disease_severe_prior_treatment_heart,0,1
206,NCT05112432,legal commitment treatment medical guardianship  provision guardianship order court order allow guardian consent research,N,disorder_history_use_months_current_disease_severe_prior_treatment_heart,0,0.835012605
202,NCT03315286,employee direct relative employee investigational site sponsor,N,disorder_history_use_months_current_disease_severe_prior_treatment_heart,0,0.929714568
390,NCT04152447,injuries requiring staged surgical fixation  i.e. ex fix orif ,N,skin_cancer_allergy_known_cell_reaction_basal_allergic_adhesive_carcinoma,2,0.528775364
92,NCT03996954,patients unable unwilling use device,N,disorder_history_use_months_current_disease_severe_prior_treatment_heart,0,0.972335677
398,NCT03187132,unable understand goals cognitive difficulty,Y,disorder_history_use_months_current_disease_severe_prior_treatment_heart,0,1
383,NCT05362708,low auditory visual acuity precludes use device.,Y,disorder_history_use_months_current_disease_severe_prior_treatment_heart,0,1
0,NCT05375500,pain blood clots,Y,mmhg_blood_pressure_ml_60_diastolic_hba1c_min_tsh_cm,3,0.440830256
256,NCT03333876,scored higher 9 modified snore scale score  msss>9 ,Y,disorder_history_use_months_current_disease_severe_prior_treatment_heart,0,0.963344282
64,NCT03401489,severe global disability  modified rankin score ≥ 3 ,Y,disorder_history_use_months_current_disease_severe_prior_treatment_heart,0,0.997072824
313,NCT04900285,missing teeth.,Y,pregnant_pregnancy_women_planning_breastfeeding_female_feeding_breast_potential_child,1,1
267,NCT03091712,unable meet protocol requirements  performing smbg  administering insulin ,Y,disorder_history_use_months_current_disease_severe_prior_treatment_heart,0,1
177,NCT03557034,primary electrophysiologist decides needs monitoring traditional monitors reason,Y,disorder_history_use_months_current_disease_severe_prior_treatment_heart,0,0.994036756
427,NCT02830893,severe loss sensation stroke affected upper extremities  score < 1 nottingham sensory assessment ,Y,disorder_history_use_months_current_disease_severe_prior_treatment_heart,0,0.732962334
42,NCT05400837,previously evaluated cardiologist electrophysiologist,Y,disorder_history_use_months_current_disease_severe_prior_treatment_heart,0,0.687157593
444,NCT05353296,treatment intervention time period initial baseline 6 month follow assessments,Y,disorder_history_use_months_current_disease_severe_prior_treatment_heart,0,1
205,NCT03936699,score ≥10 health questionnaire 9  phq 9  demonstrating moderate depression.,Y,disorder_history_use_months_current_disease_severe_prior_treatment_heart,0,1
176,NCT04689256,severe aphasia speech language disorder  limiting ability express needs comprehend instructions.,Y,disorder_history_use_months_current_disease_severe_prior_treatment_heart,0,1
389,NCT03741400,medical condition  opinion investigator  makes unsuitable study.,Y,disorder_history_use_months_current_disease_severe_prior_treatment_heart,0,1
322,NCT04809285,actively participating plans enroll investigational  drug device   received treatment investigational drug device.,Y,disorder_history_use_months_current_disease_severe_prior_treatment_heart,0,1
230,NCT04118270,patients cha2ds2 vasc stroke risk score 2,Y,disorder_history_use_months_current_disease_severe_prior_treatment_heart,0,1
445,NCT04347161,lack approval s oncologist,Y,disorder_history_use_months_current_disease_severe_prior_treatment_heart,0,0.850754971
164,NCT03767790,condition  opinion investigator designee  risk,Y,disorder_history_use_months_current_disease_severe_prior_treatment_heart,0,1
256,NCT03333876,8 natural  healthy teeth dental arch  upper lower teeth ,Y,pregnant_pregnancy_women_planning_breastfeeding_female_feeding_breast_potential_child,1,1
173,NCT05036343,known pregnant women taking chronic steroids  equivalent equal greater 5mg prednisone daily ,Y,disorder_history_use_months_current_disease_severe_prior_treatment_heart,0,0.887831442
256,NCT03333876,scored higher 6 osa 50 screener  osa50>6 ,Y,disorder_history_use_months_current_disease_severe_prior_treatment_heart,0,0.498704163
409,NCT05061745,active substance use disorder hallucinogen use 3 months current substance use puts increased risk significant impairment,Y,disorder_history_use_months_current_disease_severe_prior_treatment_heart,0,1
58,NCT03214224,als functional rating scale  alsfrs r   cedarbaum1999  score day screening ≥2 items speech  swallowing  salivation. items indicators bulbar dysfunction  limits reliability pft administration.,Y,disorder_history_use_months_current_disease_severe_prior_treatment_heart,0,0.900499458
372,NCT03606668,expanded disability status scale  edss  score greater 6.5,Y,disorder_history_use_months_current_disease_severe_prior_treatment_heart,0,0.988150168
161,NCT05193825,exclusion criteria idiopathic parkinson s syndrome  ips ,Y,disorder_history_use_months_current_disease_severe_prior_treatment_heart,0,0.944326117
228,NCT04808141,symptoms signs indicative possible infectious disorder,Y,disorder_history_use_months_current_disease_severe_prior_treatment_heart,0,1
375,NCT03372460,lifetime history moderate severe traumatic brain injury  tbi ,Y,disorder_history_use_months_current_disease_severe_prior_treatment_heart,0,1
438,NCT04655924,inability unwillingness informed consent,Y,consent_informed_provide_inability_sign_unable_written_unwillingness_willing_representative,4,1
141,NCT02925299,severe visual impairment,Y,disorder_history_use_months_current_disease_severe_prior_treatment_heart,0,0.547661893
421,NCT05212363,history peripheral arterial bypass grafting.,Y,disorder_history_use_months_current_disease_severe_prior_treatment_heart,0,0.853890843
134,NCT03224234,known hypersensitivity insulin glargine components,Y,disorder_history_use_months_current_disease_severe_prior_treatment_heart,0,0.923179483
125,NCT03528174,severe peripheral arterial disease characterized ischemic rest pain severe claudication.,Y,disorder_history_use_months_current_disease_severe_prior_treatment_heart,0,0.751133029
384,NCT04196686,patients consent,Y,consent_informed_provide_inability_sign_unable_written_unwillingness_willing_representative,4,0.640134962
241,NCT05166707,current severe substance use disorder determined m.i.n.i diagnostic instrument excluding caffeine,Y,disorder_history_use_months_current_disease_severe_prior_treatment_heart,0,1
241,NCT05166707,history violent tendencies  action s  thoughts predilection violence opinion investigator,Y,disorder_history_use_months_current_disease_severe_prior_treatment_heart,0,0.258480722
381,NCT04887285,poorly controlled psychiatric conditions affect outcomes  active substance abuse  impose barrier  anxiety disorder requiring procedural sedation ,Y,disorder_history_use_months_current_disease_severe_prior_treatment_heart,0,1
77,NCT04332718,ii. exclusively retinal stroke retinal tia event. iii. responsible etiological qualifying stroke tia event determined i.e. cervicocephalic artery dissection  venous sinus thrombosis  hypercoagulable states  known cause.,Y,disorder_history_use_months_current_disease_severe_prior_treatment_heart,0,0.349372276
26,NCT05438160,4. currently receiving received psychotherapy 12 weeks prior screening.,Y,disorder_history_use_months_current_disease_severe_prior_treatment_heart,0,0.972325397
138,NCT04607460,female,Y,pregnant_pregnancy_women_planning_breastfeeding_female_feeding_breast_potential_child,1,1
285,NCT03905863,known hba1c >12 ,Y,mmhg_blood_pressure_ml_60_diastolic_hba1c_min_tsh_cm,3,0.460049849
428,NCT05401799,prior stroke,Y,disorder_history_use_months_current_disease_severe_prior_treatment_heart,0,0.820065157
125,NCT03528174,allergy lispro insulin.,Y,disorder_history_use_months_current_disease_severe_prior_treatment_heart,0,0.763348014
416,NCT03780296,diagnoses cancer involving nervous musculoskeletal system,Y,disorder_history_use_months_current_disease_severe_prior_treatment_heart,0,1
360,NCT04163809,visual impairment,Y,disorder_history_use_months_current_disease_severe_prior_treatment_heart,0,0.740496272
321,NCT02600845,treatment insulin pump therapy,Y,disorder_history_use_months_current_disease_severe_prior_treatment_heart,0,1
138,NCT04607460,subjects severe visual hearing impairment ,Y,disorder_history_use_months_current_disease_severe_prior_treatment_heart,0,1
75,NCT04217551,presumed sepsis etiology arrest,Y,disorder_history_use_months_current_disease_severe_prior_treatment_heart,0,0.355595234
241,NCT05166707,use smartphone app past treatment psychiatric disorder  including ocd  depression anxiety disorder,Y,disorder_history_use_months_current_disease_severe_prior_treatment_heart,0,1
438,NCT04655924,inability manage outpatient setting  i.e. imminent suicidality ,Y,disorder_history_use_months_current_disease_severe_prior_treatment_heart,0,0.627067655
215,NCT04244786,dermatologic condition resulting non intact skin scalp,Y,skin_cancer_allergy_known_cell_reaction_basal_allergic_adhesive_carcinoma,2,0.465267034
138,NCT04607460,currently enrolled investigational drug device study.,Y,disorder_history_use_months_current_disease_severe_prior_treatment_heart,0,0.903629592
45,NCT04421131,willing sign informed consent,Y,consent_informed_provide_inability_sign_unable_written_unwillingness_willing_representative,4,0.746657352
392,NCT03559829,1  predisposing psychological disorders impede 2  severe aphasia resulting communication difficulties 3  severe pain impeding upper extremity rehabilitation 4  pre existing neurological disorder causes motor deficits  i.e. parkinson s disease ,Y,disorder_history_use_months_current_disease_severe_prior_treatment_heart,0,1
376,NCT05130658,hospitalization heart attack  heart surgery acute heart failure 3 months enrollment study.,Y,disorder_history_use_months_current_disease_severe_prior_treatment_heart,0,1
447,NCT04434313,uncontrolled seizures,Y,disorder_history_use_months_current_disease_severe_prior_treatment_heart,0,0.911810765
344,NCT05293275,current prior epilepsy  seizure disorder  dementia  migraines ,Y,disorder_history_use_months_current_disease_severe_prior_treatment_heart,0,0.820208579
225,NCT04797611,treated pump continuous delivery dopamine replacement medication.,Y,disorder_history_use_months_current_disease_severe_prior_treatment_heart,0,0.539570838
118,NCT04428645,allergy aspart insulin.,Y,disorder_history_use_months_current_disease_severe_prior_treatment_heart,0,0.568417964
114,NCT05030272,current acute psychotic episode unsafe defined mini international neuropsychiatric interview psychotic disorders  sheehan et al.  1998 ,Y,disorder_history_use_months_current_disease_severe_prior_treatment_heart,0,1
51,NCT04484779,presence history severe congestive heart failure  new york heart association class iv  ccnyha 1994 .,Y,disorder_history_use_months_current_disease_severe_prior_treatment_heart,0,1
423,NCT03672344,history seizures.,Y,disorder_history_use_months_current_disease_severe_prior_treatment_heart,0,0.539226989
54,NCT04609514,desire quit smoking,Y,disorder_history_use_months_current_disease_severe_prior_treatment_heart,0,0.734399248
138,NCT04607460,comorbid acute chronic pain condition rated painful migraine,Y,disorder_history_use_months_current_disease_severe_prior_treatment_heart,0,0.453804079
220,NCT04906603,significant neurological disorder insult impact risk  based principal investigator s judgement research literature ,Y,disorder_history_use_months_current_disease_severe_prior_treatment_heart,0,0.728553021
447,NCT04434313,uncontrolled blood pressure,Y,mmhg_blood_pressure_ml_60_diastolic_hba1c_min_tsh_cm,3,0.419685116
125,NCT03528174,active infection.,Y,disorder_history_use_months_current_disease_severe_prior_treatment_heart,0,0.722710136
423,NCT03672344,profound intellectual disability sensory motor difficulties preclude valid use diagnostic instruments use computer mobile computing device.,Y,disorder_history_use_months_current_disease_severe_prior_treatment_heart,0,0.837422032
