,NCTId,InclusionCriteriaEmbedClean,Correct,TopicName,Topics,TopicProbs
339,NCT04858178,participants,A,consent_informed_provide_willing_able_written_comply_capable_signed_legal,1,1
197,NCT04268914,4. children normal range development recruited study. assessed report parents. rationale excluding patients developmental delay cognitive impairments  children react stressors surgery differently children developmental delay. unclear children use preparation programs interventions included  likely responses baseline outcome measures differ children normal developmental parameters.,A,pain_months_score_treatment_10_month_sleep_scale_stable_medication,0,0.952436841
376,NCT05130658,participants ,A,consent_informed_provide_willing_able_written_comply_capable_signed_legal,1,1
43,NCT02506244,participants ,A,consent_informed_provide_willing_able_written_comply_capable_signed_legal,1,1
119,NCT03142932,agree anticipate living baltimore 2 months,N,pain_months_score_treatment_10_month_sleep_scale_stable_medication,0,0.859316353
337,NCT04380415,u.s. resident,N,pain_months_score_treatment_10_month_sleep_scale_stable_medication,0,1
58,NCT03214224,1,N,pain_months_score_treatment_10_month_sleep_scale_stable_medication,0,0.626629897
138,NCT04607460,able speak understand english   6  access computer tablet home email address.,N,consent_informed_provide_willing_able_written_comply_capable_signed_legal,1,0.848313401
243,NCT03418129,served military branches  army  navy  marines  air force  coast guard  october 2001.,N,pain_months_score_treatment_10_month_sleep_scale_stable_medication,0,0.874890388
290,NCT03335800,valid phone number associated iphone  ascertained self report.,N,consent_informed_provide_willing_able_written_comply_capable_signed_legal,1,1
298,NCT03338036,holds valid driver s license,N,smartphone_access_android_mobile_device_phone_iphone_ios_internet_app,3,0.542721291
290,NCT03335800,current resident united states time eligibility screening  defined self reported state residence 50 states united states district columbia.,N,pain_months_score_treatment_10_month_sleep_scale_stable_medication,0,0.8605684
31,NCT04524598,residing usa duration 5 week,N,pain_months_score_treatment_10_month_sleep_scale_stable_medication,0,0.726726715
348,NCT04253691,unable complete forms implement treatment cognitive impairment  mmse<26 ,N,pain_months_score_treatment_10_month_sleep_scale_stable_medication,0,0.968648746
404,NCT05263037,availability physical mailing address po box address receipt device.,Y,consent_informed_provide_willing_able_written_comply_capable_signed_legal,1,0.925409758
117,NCT04678661,able comprehend basic diabetes survival skills  signs symptoms hypoglycemia treatment bg,Y,pain_months_score_treatment_10_month_sleep_scale_stable_medication,0,0.955291419
3,NCT04325464,<   6.5 hours sleep night,Y,pain_months_score_treatment_10_month_sleep_scale_stable_medication,0,0.881286246
269,NCT02336282,history self reported executive dysfunction daily life  defined having standardized score <20th percentile brief initiate  shift  working memory domains having scored <20th percentile childhood cancer survivor neurocognitive questionnaire task efficiency memory domains.,Y,pain_months_score_treatment_10_month_sleep_scale_stable_medication,0,1
26,NCT05438160,3. sole user iphone iphone operating system  ios 13 greater capabilities smart phone android operating system  os  9 greater capabilities.,Y,smartphone_access_android_mobile_device_phone_iphone_ios_internet_app,3,0.546760597
199,NCT04142229,willingness switch home pump plgs manual mode hybrid   investigator confidence successfully operate devices capable adhering protocol.,Y,consent_informed_provide_willing_able_written_comply_capable_signed_legal,1,0.805066405
26,NCT05438160,4. owner  regular access  email address.,Y,consent_informed_provide_willing_able_written_comply_capable_signed_legal,1,0.909235199
397,NCT04577573,sci occurred greater 12 months ago,Y,pain_months_score_treatment_10_month_sleep_scale_stable_medication,0,0.96917178
309,NCT03165110,willing utilize contour meter contour diabetes app 2.0 personal mobile device communicates meter manage diabetes willing diary,Y,smartphone_access_android_mobile_device_phone_iphone_ios_internet_app,3,0.629458619
