id,name,branches,main_branch,heading,branch_name
D000001,Calcimycin,['D03.633.100.221.173'],D03,FALSE,Heterocyclic Compounds
D000002,Temefos,"['D02.705.400.625.800', 'D02.705.539.345.800', 'D02.886.300.692.800']",D02,FALSE,Organic Chemicals
D000003,Abattoirs,"['J01.576.423.200.700.100', 'J03.540.020']",J01,FALSE,"Technology, Industry, and Agriculture"
D000004,Abbreviations as Topic,['L01.559.598.400.556.131'],L01,FALSE,Information Science
D000005,Abdomen,['A01.923.047'],A01,FALSE,Body Regions
D000006,"Abdomen, Acute","['C23.888.592.612.054.200', 'C23.888.821.030.249']",C23,FALSE,"Pathological Conditions, Signs and Symptoms"
D000007,Abdominal Injuries,['C26.017'],C26,FALSE,Wounds and Injuries
D000008,Abdominal Neoplasms,['C04.588.033'],C04,FALSE,Neoplasms
D000009,Abdominal Muscles,['A02.633.567.050'],A02,FALSE,Musculoskeletal System
D000010,Abducens Nerve,['A08.800.800.120.030'],A08,FALSE,Nervous System
D000011,Abelson murine leukemia virus,"['B04.613.807.375.525.020', 'B04.820.650.375.525.020']",B04,FALSE,Viruses
D000012,Abetalipoproteinemia,"['C16.320.565.398.500.440.500', 'C18.452.584.500.875.440.500', 'C18.452.584.563.500.440.500', 'C18.452.648.398.500.440.500']",C16,FALSE,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
D000013,Congenital Abnormalities,['C16.131'],C16,FALSE,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
D000014,"Abnormalities, Drug-Induced",['C16.131.042'],C16,FALSE,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
D000015,"Abnormalities, Multiple",['C16.131.077'],C16,FALSE,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
D000016,"Abnormalities, Radiation-Induced","['C16.131.080', 'C26.733.031', 'G01.750.748.500.031', 'N06.850.460.350.850.500.031', 'N06.850.810.300.360.031']",C16,FALSE,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
D000017,ABO Blood-Group System,"['D23.050.301.290.031', 'D23.050.705.230.031']",D23,FALSE,Biological Factors
D000018,Abomasum,['A13.869.106'],A13,FALSE,Animal Structures
D000019,Abortifacient Agents,"['D27.505.696.875.131', 'D27.505.954.705.131']",D27,FALSE,Chemical Actions and Uses
D000020,"Abortifacient Agents, Nonsteroidal","['D27.505.696.875.131.100', 'D27.505.954.705.131.100']",D27,FALSE,Chemical Actions and Uses
D000021,"Abortifacient Agents, Steroidal","['D27.505.696.875.131.200', 'D27.505.954.705.131.200']",D27,FALSE,Chemical Actions and Uses
D000022,"Abortion, Spontaneous","['C12.050.703.039', 'G08.686.784.769.496.125']",C12,FALSE,Urogenital Diseases
D000023,Abortion Applicants,['M01.050'],M01,FALSE,Persons
D000024,"Abortion, Criminal",['I01.198.240.089'],I01,FALSE,Social Sciences
D000025,"Abortion, Eugenic",['E04.520.050.050'],E04,FALSE,"Surgical Procedures, Operative"
D000026,"Abortion, Habitual",['C12.050.703.039.089'],C12,FALSE,Urogenital Diseases
D000027,"Abortion, Incomplete",['C12.050.703.039.093'],C12,FALSE,Urogenital Diseases
D000028,"Abortion, Induced",['E04.520.050'],E04,FALSE,"Surgical Procedures, Operative"
D000029,"Abortion, Legal",['E04.520.050.055'],E04,FALSE,"Surgical Procedures, Operative"
D000030,"Abortion, Missed",['C12.050.703.039.173'],C12,FALSE,Urogenital Diseases
D000031,"Abortion, Septic","['C01.674.173', 'C12.050.703.039.256', 'C12.050.703.700.173']",C01,FALSE,Infections
D000032,"Abortion, Therapeutic",['E04.520.050.060'],E04,FALSE,"Surgical Procedures, Operative"
D000033,"Abortion, Threatened",['C12.050.703.090'],C12,FALSE,Urogenital Diseases
D000034,"Abortion, Veterinary","['C12.050.703.039.422', 'C22.021']",C12,FALSE,Urogenital Diseases
D000035,Abreaction,['F04.754.720.107'],F04,FALSE,Behavioral Disciplines and Activities
D000036,Abrin,"['D08.811.277.450.430.700.750.111', 'D12.776.503.499.249', 'D12.776.765.678.906.111']",D08,FALSE,Enzymes and Coenzymes
D000037,Abruptio Placentae,"['C12.050.703.420.078', 'C12.050.703.590.132']",C12,FALSE,Urogenital Diseases
D000038,Abscess,"['C01.830.025', 'C23.550.470.756.100']",C01,FALSE,Infections
D000039,Peritonsillar Abscess,"['C01.748.561.750.500', 'C01.830.025.675', 'C07.550.781.750.500', 'C08.730.561.750.500', 'C09.775.649.750.500']",C01,FALSE,Infections
D000040,Abscisic Acid,"['D02.241.223.268.034', 'D02.455.326.271.665.202.061', 'D02.455.426.392.368.367.379.249.024', 'D02.455.849.131.061', 'D02.455.849.765.521.500']",D02,FALSE,Organic Chemicals
D000041,Absenteeism,['F02.784.692.107'],F02,FALSE,Psychological Phenomena
D000042,Absorption,"['G01.015', 'G02.010', 'G03.015', 'G03.787.024', 'G07.690.725.015']",G01,FALSE,Physical Phenomena
D000043,Abstracting and Indexing,['L01.453.245.100'],L01,FALSE,Information Science
D000044,Dental Abutments,"['E06.780.346.500', 'E07.695.190.175']",E06,FALSE,Dentistry
D000045,Acacia,['B01.875.800.575.912.250.401.025'],B01,FALSE,Eukaryota
D000046,Academic Medical Centers,['N02.278.020'],N02,FALSE,"Health Care Facilities, Manpower, and Services"
D000047,Academies and Institutes,['N03.540.052'],N03,FALSE,Health Care Economics and Organizations
D000048,Acanthamoeba,['B01.046.500.100.075.080'],B01,FALSE,Eukaryota
D000049,Acanthocephala,['B01.050.500.500.132'],B01,FALSE,Eukaryota
D000050,Acanthocytes,"['A11.118.290.330.100', 'A11.443.240.330.100', 'A15.145.229.334.330.100']",A11,FALSE,Cells
D000051,Acantholysis,"['C17.800.865.070', 'C23.550.035']",C17,FALSE,Skin and Connective Tissue Diseases
D000052,Acanthosis Nigricans,['C17.800.621.430.530.100'],C17,FALSE,Skin and Connective Tissue Diseases
D000053,Acari,['B01.050.500.131.166.132'],B01,FALSE,Eukaryota
D000054,Acceleration,['G01.482.107'],G01,FALSE,Physical Phenomena
