,NCTId,OverallStatus,StartDate,EligibilityCriteria,CompletionDate,StudyType,BriefTitle,DesignPrimaryPurpose,LeadSponsorClass,CollaboratorClass,DetailedDescription,IsFDARegulatedDevice,IsFDARegulatedDrug,InterventionType,BriefSummary,OfficialTitle,Keyword,InterventionDescription,InterventionName,query
0,NCT05375500,Completed,2020-01-01,"Inclusion Criteria:

18 years of age or older
Able to wear a VR HMD (head-mounted display)
Able to attend visits with the frequency outlined in the protocol

Exclusion Criteria:

Individuals who have a cognitive impairment
Susceptibility to motion sickness or simulator-sickness
History of susceptibility to seizures per subject's reporting
Pain due to skin infections
Pain due to blood clots",2021-09-10,Interventional,Embodiment in Virtual Reality as a Telemedicine Digital Therapeutic for the Treatment of Chronic Shoulder Pain,Treatment,INDUSTRY,,"This study protocol was conducted in accordance with the ethical standards of the Declaration of Helsinki and approved by ADVARRA, an independent institutional review board. Ten chronic shoulder pain patients (7 Female, 3 Male, mean age = 48.44 years) provided written informed consent prior to participating in the study. Eight patients presented with chronic pain of the left shoulder and two presented with right chronic shoulder pain. Patients were recruited from a local pain clinic. Patients were excluded if they reported a history of motion sickness, a history of seizures, or cognitive impairments. A total of twenty-one patients were assessed for eligibility. Two patients were excluded prior to participation for a history of vertigo or motion sickness, and one was excluded due to color blindness. Four patients declined to participate prior to beginning treatment. Four patients were excluded due to impending surgeries scheduled that would prevent them from completing the study protocol (see Figure 1 consort diagram).

Patients who volunteered to participate in the study were shipped an Oculus Quest six-degrees-of-freedom wireless head mounted VR display (HMD) and hand controllers. Patients were assigned a health coach to assist with the use of the VR hardware. The health coach met with the patients via a HIPAA compliant telehealth video chat platform. Patients were instructed on safe use of the VR headset and hand controllers and instructed on how to create the safe play guardian of the Oculus Quest VR system and how to connect the HMD to a home wi-fi. After the patients confirmed that they were comfortable using the Oculus Quest, they were advised to complete three sessions of functional rehabilitation in VR exercises per week over the course of eight weeks. All function rehabilitation exercises were self-administered by each patient. The coach conducted telehealth video chat sessions with each patient once per week and administered a structured curriculum that included pain neuroscience education, goal setting, instructions for pacing and grading, and flare-up management.

Functional rehabilitation exercises were delivered through KarunaHOME (Karuna Labs, Inc, San Francisco, CA). KarunaHOME is a virtual reality software delivered on the oculus quest to provide rehabilitation exercises in patient's homes. KarunaHOME Virtual Embodiment Training™ consists of five functional rehabilitation exercises designed on the principles of graded exposure and mirror therapy.

Each session of functional rehabilitation began with a calibration exercise that measured shoulder range of motion for flexion, scaption, and abduction (Figure 2). The calibration exercise progressed through shoulder flexion, shoulder scaption, and shoulder abduction one at a time, on each side. The patient was instructed in VR to perform three repetitions within a comfortable range. The calibration exercise was a measurement of a patient's comfortable range of motion for flexion, scaption, and abduction and was used to set the limits of subsequent exercises so that patient did not move beyond their comfortable range during that day's session. The second exercise was a functional movement exercise that promoted shoulder flexion, scaption, and abduction while engaged in a reach and grasp task. Patients reached for an orb in the form of a floating lotus flower positioned in front of the patient in the virtual environment. Patients grasped the orb by moving the hand controller, which corresponded to movement of the virtual avatar's arm, and then pulled the trigger of the Oculus Quest hand controller using the index finger to toss the orb into a pond by producing either an overhand or underhand throwing motion and releasing the trigger. The second exercise also incorporated a mirror visual feedback (MVF) manipulation where the avatar's contralateral limb moved relative to the patient's movement. For example, if the patient moved their right arm, they would see embodied avatar's left arm moving. MVF was used for half the duration of each exercise. The third exercise was a reach and grasp exercise where patients reached to grasp colorful flowers by moving the hand controller to position the virtual avatar's arm in front of their embodied virtual avatar. The goal of this exercise was to match flowers of the same color in sets of three or more. The patient reached up for a flower to remove it and then the flowers above will fall into place. The exercise required patients to reach a maximum height by continuing to remove flowers. The fourth exercise was a painting exercise designed to promote complex dynamic shoulder motion. The goal of this exercise was to connect numbered dots by using the hand controller to move the virtual avatar's arm in a dynamic pattern to recreate different shapes in the sky using a virtual paintbrush. The first few shapes were directly in front of the patient and were simple movements such as a circle, triangle, heart. The shapes became progressively more difficult, requiring greater shoulder range of motion for reaching above and to the side, and progressed to more complex shapes to connect. The final exercise was a simulated activity of daily living in the form of a bow and arrow experience. Movements were designed to mimic motions that are included in activities of daily living such as putting on a seatbelt or shampooing hair. There were three distinct exercises within the bow and arrow activity. In all exercises, the patient moved the hand controller to move the virtual avatar's upper extremity limbs in a position that was necessary to complete the task. The first exercise required patients to reach the affected arm across body (horizontal adduction) to the quiver on the opposite hip to grasp an arrow and then bring the arrow to the bow (shoulder flexion) and pull back (scapular retraction) and shoot towards a target. The second exercise required patients to reach with affected arm over and behind the opposite shoulder to the quiver to get an arrow and then bring the arrow to the bow (shoulder flexion) and pull back (scapular retraction) and shoot. The third exercise required patients to reach over the affected shoulder (shoulder flexion, abduction, and internal and external rotation). Each session progressed from the first exercise to the last exercise with one minute of a guided breathing exercise in between each exercise. Patients completed three sessions per week over the course of eight weeks.

Telehealth-based pain education and behavioral health coaching was administered once per week. The first session was ninety minutes in duration and consisted of a general introduction, a tutorial on safely using the VR hardware in the home, and general introductions to Virtual Embodiment Training. Sessions two through eight were sixty minutes in duration with each session addressing topics that could be applied in the virtual embodiment exercises as well as activities of daily living. Each session included discussions of goals to work towards, including goals within virtual embodiment exercises. Sessions also contained pain neuroscience education, instruction on graded exposure, and behavioral exercises designed to help patients cope with their chronic pain and manage stress with relaxation, awareness of emotions and pain-related thoughts, mindfulness and gratitude-based exercises.Patients were encouraged to apply what they learned in the behavioral coaching sessions in exercised performed in VR.

The primary objective of this study was to assess the feasibility of a home-based functional rehabilitation program delivered in VR combined with telehealth-based education and coaching. The secondary objective was to determine appropriate outcome measures for an eventual larger scale randomized controlled trial. To assess the potential effectiveness of VR telehealth delivered functional rehabilitation, a battery of pain assessments were administered at three timepoints (pre, mid, and post), prior to beginning the eight week protocol, at the midpoint (week 4), and after completing the eight week protocol. The Disability of the Arm, Shoulder, and Hand (DASH) questionnaire was used to assess shoulder disability. The SF-36 was used to assess was administered to assess quality of life. The Pain Catastrophizing Scale (PCS) was used to assess psychological aspects of pain. The Fear Avoidance Beliefs Questionnaire (FABQ) physical activity subscale was used to assess fear of movement due to chronic pain. The Upper Extremity Functional Index (UEFI) was used to assess shoulder function. The Tampa Scale of Kinesiophobia (TSK) was used to assess fear of movement. The Pain Self-Efficacy Questionnaire (PSEQ) was used to assess patient confidence. The Yellow Flag Risk Form (YFRF) was used to assess chronic pain mechanisms. Since this was a feasibility study, additional measures were assessed to determine appropriate outcome measures for an eventual larger randomized controlled trial.",Yes,No,Device,"Chronic shoulder pain is a common musculoskeletal pain condition that can have a profound impact on a sufferer's life and a large socioeconomic healthcare burden to society. The aim of this study was to determine the feasibility of delivering telemedicine enabled functional shoulder rehabilitation for chronic shoulder pain patients using immersive virtual reality. Ten chronic shoulder pain patients were recruited from local pain clinics. Patients engaged in three sessions of virtual embodiment training per week over the course of eight weeks. Rehabilitation sessions were delivered on an Oculus Quest head-mounted display and hand controllers. Rehabilitation exercises (virtual embodiment training) leverage techniques from graded motor imagery, such as visual mirror feedback and augmentation of the virtual avatar's movements. Eight pain assessments were administered prior to the first session, and at weeks four and eight to get an indication of the effect that telemedicine delivered virtual embodiment training has on symptoms of chronic shoulder pain.",Embodiment in Virtual Reality as a Telemedicine Digital Therapeutic for the Treatment of Chronic Shoulder Pain,,digital therapeutics intervention for chronic pain utilizing coaching and virtual reality application,telemedicine digital therapeutic,"""digital therapeutic"""
1,NCT05016050,Recruiting,2021-08-09,"Inclusion Criteria:

Adults 22 years or older at the time of screening
Meets DSM-5 diagnostic criteria for Major Depressive Disorder or Generalized Anxiety Disorder
Access to and willingness to use computer equipment/smartphone compatible with the product platform over a functional network for the study duration
Currently residing in the United States

Key Exclusion Criteria:

Risk of suicide or has attempted suicide within 24 months of the screening visit
Moderate to severe substance use disorder
Current co-morbid psychiatric diagnosis including PTSD, Schizophrenia, Bipolar Disorder I or II, or Borderline Personality Disorder
Currently pregnant or planning to become pregnant during the treatment period

Note: Other protocol-defined inclusion/exclusion criteria applied.",2023-04-01,Interventional,Digital Therapeutic for Major Depressive Disorder (MDD) and Generalized Anxiety Disorder (GAD),Treatment,INDUSTRY,,"This study aims to assess the safety and efficacy of HPDT-DA-013 digital therapeutic in adults ages 22 years and older with MDD or GAD. Participants access HPDT-DA-013 on their smart device or computer and complete treatment over a period of 8-10 weeks. During the treatment period, participants complete PHQ-9 and GAD-7 assessments, as well as safety and medication use questionnaires. After 8-10 weeks, participants will complete end-of-treatment assessments, and access to HPDT-DA-013 will be removed. Participants are then followed for a period of 12 months.",Yes,No,Device,"Participants with Major Depressive Disorder (MDD) or Generalized Anxiety Disorder (GAD) will use a prescribed digital therapeutic for 8-10 weeks, and will complete depression and anxiety measures during this time. After the treatment period, participants will be followed monthly for 12 months.","A Real-World Evidence, Single-Arm, Open-Label Study Evaluating the Safety and Efficacy of HPDT-DA-013 Digital Therapeutic in the Treatment of Major Depressive Disorder(MDD)and Generalized Anxiety Disorder(GAD)",depression	anxiety,Digital program with therapeutic interventions based on Cognitive Behavioral Therapy (CBT).,HPDT-DA-013,"""digital therapeutic"""
2,NCT05412966,Recruiting,2022-06-01,"Inclusion Criteria:

Provide written informed consent prior to any study specific assessments being performed
Male or female ≥18 years of age, inclusive
English proficiency to meaningfully participate in consent process, assessment and intervention
Meets clinical sites criteria for buprenorphine initiation (e.g. current opioid use)
Currently receiving buprenorphine outpatient treatment for OUD (Part 1) or wishing to start buprenorphine treatment
Capable of using common software applications on an internet-enabled mobile device (smart phone or tablet)
Interested in testing or using PEAR-002b
No prior history of reSET-O use
Has not participated in any other investigational drug trials within the past 30 days (or within 5 half-lives of study drug, whichever is longer) of enrollment
Is considered appropriate for participation by their clinician

Exclusion Criteria:

Diagnostic and Statistical Manual of Mental Disorders, Fifth Edition (DSM-5) diagnosis of OUD and on methadone or naltrexone pharmacotherapy
DSM-5 diagnosis of OUD and already on buprenorphine
Planning to move out of the geographic area within 2 months
Unable to use English to participate in the consent process, the interventions, or assessments
Inability to comply with study procedures, due to severe medical conditions or otherwise
Currently receiving inpatient treatment for OUD
Women who are pregnant",2022-08-01,Interventional,Feasibility Study of Novel Prescription Digital Therapeutic Supporting Unobserved Buprenorphine Initiation & Adherence,Treatment,INDUSTRY,OTHER	UNKNOWN	NIH,"The purpose of this study is to develop and evaluate the acceptability of a novel feature for use with the prescription digital therapeutic reSET-O.

This feature aims to improve the quality of treatment for opioid use disorder (OUD) patients starting buprenorphine initiation at home by providing new digital content and withdrawal symptom assessment to support them during this process.

This study will evaluate the acceptability of this new feature and assess success of at-home buprenorphine initiation.",Yes,No,Device	Device,The purpose of this study is to assess feasibility of an at-home digital therapy designed to support buprenorphine initiation and adherence.,"A Feasibility Study of PEAR-002b, a Novel Prescription Digital Therapeutic to Support Unobserved Buprenorphine Initiation and Adherence in Opioid Use Disorder Outpatients",digital therapeutic,PEAR-002B is a novel prescription digital therapeutic to support unobserved buprenorphine initiation and adherence in Opioid Use Disorder	reSET-O is an FDA-authorized mobile application treatment for opioid use disorder.,PEAR-002B	reSET-O,"""digital therapeutic"""
3,NCT04325464,Enrolling by invitation,2020-02-18,"Inclusion Criteria:

Provide electronic informed consent prior to any study specific assessments being performed
Between 22 and 75 years old, inclusively
Insomnia as defined by an ISI score of 8 or above
Insomnia symptoms for at least 3 months
< or = 6.5 hours of sleep per night
Access to a mobile device
Resident of the United States and currently living in the United States for the duration of the trial.

Exclusion Criteria:

Presence of an active and/or progressive physical illness (e.g., congestive-heart failure, chronic obstructive pulmonary disease, acute pain), neurological disorder (e.g., epilepsy) or neurological degenerative diseases (e.g., dementia, multiple sclerosis)
Unstable medication regimen (change to schedule or dosage within the past 3 months)
Diagnosis of a psychotic disorder or bipolar disorder or medical condition contraindicated by sleep restriction
Have family or work schedules that prevent them from having normal sleep schedules defined as bedtime between 8:00 pm and 2:00 am and/or waking times between 4:00 am and 10:00 am.
Individuals who need to be alert or cautious to avoid serious accidents in their job or daily life. Examples include: Long-haul truck drivers, Long-distance bus drivers, Air traffic controllers, Operators of heavy machinery, some assembly line jobs.
Pregnant or planning to become pregnant during the course of the trial.
Other untreated sleep disorders as self-reported by the participant (e.g., obstructive sleep apnea, periodic leg movements, parasomnias)
Participated in an investigational research study in the past 30 days",2024-07-31,Interventional,"A Remote, 9-week Insomnia Treatment Trial to Collect Real World Data for a Digital Therapeutic",Treatment,INDUSTRY,,"This is an open-access, open-label, decentralized clinical trial to collect real-world evidence for PEAR-003A, a digital therapeutic delivering CBT-I.

Potential participants will answer an online prescreening questionnaire to determine eligibility. Qualifying participants will proceed to complete 6 weekly modules through their personal mobile phone or tablet in nine weeks. A series of the assessment and questionnaires will be administered at set points during the study. Participants will be asked to complete a follow-up module about 26 weeks, and at Days 243 (6-month), 428 (12-month), 610 (18-month) and 793 (24-month) after completing treatment.

A subset of approximately 34 participants may be asked to partake in a optional user experience sub study. The participant will be asked to provide study feedback by either completing a five-day diary or an interview.",Yes,No,Device,"The purpose of the study is to collect data in a real-world environment, for a digital therapeutic that delivers CBT-I through a decentralized clinical trial, open to participants with chronic insomnia.","Open-label, 9-week Treatment, De-centralized Trial to Collect Real World Evidence for a Digital Therapeutic (DT) Delivering Cognitive Behavioral Therapy for Insomnia (CBT-I) for Participants With Chronic Insomnia",Digital Therapeutic	CBT-I	Chronic Insomnia,PEAR-003A delivers CBT-I through a decentralized clinical trial open to participants with chronic insomnia,PEAR-003A,"""digital therapeutic"""
4,NCT04542642,Recruiting,2021-05-19,"Inclusion Criteria:

Provide informed consent prior to any study specific assessments being performed
Between 18 and 60 years old, inclusively
Proficient in English language
Within the first 120 days of starting buprenorphine treatment
Receiving buprenorphine pharmacotherapy under the care of a licensed healthcare provider and willing to provide the provider or practice name
Capable of using common software applications on a mobile device (smartphone)
Access to an internet-enabled smartphone for the duration of the study, meeting minimal operations systems (OS) requirements
Interest in using a digital therapeutic for Opioid-use Disorder
No prior history of reSET-O use
Has not participated in user testing of PEAR-008 or any investigational drug trials within the past 30 days of enrollment

Exclusion Criteria:

On methadone or naltrexone pharmacotherapy
Unable to use English to participate in the consent process, interventions, or assessments
Inability to comply with study procedures",2022-08-01,Interventional,"A Remote, Decentralized Opioid Use Disorder Study to Evaluate Patient Engagement With a Game-Based Digital Therapeutic",Treatment,INDUSTRY,UNKNOWN	OTHER	NIH,"This is a randomized, controlled, open-label, decentralized study to evaluate patient engagement with PEAR-008, a game-based digital therapeutic for the treatment of opioid use disorder.

PEAR-008 is a new version of reSET-O, an FDA-authorized mobile application treatment (available by prescription only) for opioid use disorder. The study will examine if changing the application's delivery format and enhancing clinical content affects how patients use and interact with the intervention.

Prospective participants will complete a short screening assessment and if eligible complete informed consent procedures at the beginning of the Baseline visit. Qualifying participants will attend weekly virtual study visits during the 8-week treatment period.

In addition to weekly assessments, additional assessments will be administered at week 4 and week 8. Participants will be asked to complete a follow-up assessment 4 weeks after completing treatment.",Yes,No,Device	Device,The purpose of this study is to evaluate how patients use and engage with a game-based mobile application that is designed to treat opioid use disorder.,"A Randomized, Controlled, Open-Label, Decentralized Study, to Evaluate Patient Engagement With PEAR-008, a Game-Based Digital Therapeutic for the Treatment of Opioid Use Disorder",digital therapeutic,"reSET-O is an FDA-authorized mobile application treatment for opioid use disorder.	PEAR-008 is a new, game-based version of reSET-O, a mobile application treatment for opioid use disorder.",reSET-O	PEAR-008,"""digital therapeutic"""
5,NCT04909229,Recruiting,2021-12-20,"Inclusion Criteria:

• Age between 22-64 years

English-speaking (both reading and writing in English required)
Diagnosis of chronic insomnia
Participant is willing and able to give consent and participate in study
Participant has an email account or is willing to create one and a smartphone able to download the necessary applications
Participant is willing and able to use the PDT, the Hugo data sharing platform and the syncable devices (e.g. Fitbit)
Participant has primary care at YNHH or Mayo Clinic

Exclusion Criteria:

Pregnancy
Shift work or family/other commitments that interfere with establishment of regular night-time sleep patterns, and if wake/sleep time is outside the ranges of 4:00h - 10:00h (wake time) and 20:00h - 02:00h (bed time)
Absence of a reliable internet access and smartphone
A reported diagnosis of psychosis, schizophrenia or bipolar disorder, or any medical disorders contraindicated with sleep restriction
Current involvement in a non-medication treatment program for insomnia (participants are still eligible if they are taking traditional sleep medications)
Those with untreated co-existing sleep conditions (e.g. sleep apnea)
Those who have failed CBT for insomnia in the past",2022-10-01,Interventional,Prescription Digital Therapeutic for the Treatment of Insomnia,Treatment,OTHER,OTHER	UNKNOWN	INDUSTRY,"This is a multi-center, randomized, controlled trial to assess the real-world effectiveness of a mobile-delivered, prescription digital therapeutic (PDT) device delivering Cognitive Behavioral Therapy for Insomnia (i.e., Somryst, herein called PEAR-003b) using a novel patient-centered data sharing platform (called Hugo), with linkage to Fitbit (Inspire 2), among 100 patients with chronic insomnia. Half of the patients with insomnia will receive the PEAR-003b digital therapeutic with linkage to the Hugo platform and Fitbit (Inspire 2) and half of the patients with insomnia will not receive the PDT but will receive a Fitbit and be enrolled in the Hugo platform. The treatment duration will be 9 weeks with a 21-, 35-, and 61-week follow-up. All patients will be evaluated at baseline, as well as prompted to complete additional assessments at weeks 9, 21, 35, and 61. The PEAR-003b intervention will deliver CBT-I via mobile devices as 6 treatment core modules over 9 weeks. Additionally, the Hugo platform will be used to collect patient-generated engagement data, healthcare utilization outcomes, and patient activity/clinical outcomes. These real-world data points and trends collected as part of this pilot investigation will help inform a future larger healthcare effectiveness and outcomes research study.",Yes,No,Device	Device	Behavioral,"This will be a prospective multi-center controlled trial of 100 patients conducted to assess the real-world effectiveness of a mobile-delivered, prescription digital therapeutic (PDT) device delivering Cognitive Behavioral Therapy for Insomnia using a novel patient-centered data-sharing platform with linkage to Fitbit for 61 weeks",Randomized Controlled Trial Examining Real-World Effectiveness of a Prescription Digital Therapeutic for the Treatment of Insomnia,insomnia	CBT-I,The PEAR-003b digital therapeutic delivers CBT-I via mobile devices as 6 treatment core modules over 9 weeks.	Patients will receive a Fitbit and receive standard of care	Patients will receive sleep hygiene and healthy sleep tips.,PEAR-003b PDT Intervention	Fitbit	Sleep education materials,"""digital therapeutic"""
8,NCT05302050,Enrolling by invitation,2022-03-07,"Inclusion Criteria:

Current (within 3 months prior to enrollment) HbA1c >=7.01%
Possession of and ability to use Android or iPhone mobile phone
Speaks and reads in English
Willing to measure frequent fasting finger glucose measurements as part of the App utilization

Exclusion Criteria:

Current use of insulin other than a long-acting insulin analogue or human NPH insulin
HbA1c >=11%
Cognitive impairment or degenerative neuropsychiatric condition (e.g. Alzheimer's, dementia, mixed dementia, other significant memory loss, schizophrenia), or any other condition that in the Investigator's opinion may prevent patient from completing study activities
Any terminal medical condition with life expectancy of < 1 year.",2024-12-01,Interventional,A Cognitive Behavioral Digital Therapeutic InterventiON for Glycemic Control in Type 2 Diabetes Mellitus,Treatment,INDUSTRY,UNKNOWN,"The study intervention, BT-001 (the App), will be dispensed at enrollment to the Immediate Intervention App Use arm of the trial. Patients randomized to the Delayed Intervention App Use arm will be provided a ""control App"" with diabetes control, and then the BT-001 App after 180 days. Each participant is assigned to one 90-day treatment cycle of BT-001. Over the 12-month intervention period, study participants will be able to opt into up to 3 additional treatment cycles of BT-001. Study schema is included at the end of this section",Yes,No,Device	Device,"Randomized, controlled, pragmatic trial with open-label extension evaluating BT-001, an investigational digital therapeutic intended to help patients with type 2 diabetes improve their glycemic control.",A Cognitive Behavioral Digital Therapeutic InterventiON for Glycemic Control in Type 2 Diabetes Mellitus,,"BT-001is a software application that delivers treatment to participants with type 2 diabetes, using behavioral therapy. BT-001 is accessed via the participants' smartphone.

The behavioral intervention process involves:

Identifying maladaptive thoughts based on misinformed core beliefs that lead to disease-promoting behaviors; replacing maladaptive core beliefs with adaptive ways of thinking; and providing collaborative construction of behavioral exercises to test core beliefs.

Each week, BT-001 asks participants to complete a new lesson, along with one skill exercise. The lessons are expected to take between 10-20 minutes to complete. In addition to completing a lesson and skill, participants will be directed to report plant-based meals consumed and minutes of exercise completed and to measure their blood sugar daily.	The app asks patients brief questions about their health but does not include any behavioral therapy.",BT-001	Control Mobile Application,"""digital therapeutic"""
11,NCT03569618,Completed,2018-04-01,"Inclusion Criteria:

Adult men or women diagnosed with multiple sclerosis (MS) or clinically isolated syndrome (CIS)
SDMT z-score range (-2 to +1)
Wifi available in home
Able to use a tablet (iPad)
Able to attend 3 study visits in person.

Exclusion Criteria:

Clinician's assessment of visual, cognitive, or motor impairment that would preclude participation.
A clinical relapse within the last 30 days.
Steroid treatment for clinical relapse within the last 30 days.",2019-01-15,Interventional,Digital Cognition in Multiple Sclerosis,Treatment,OTHER,INDUSTRY,"The purpose of this study is to begin to test a brain training video game in people with Multiple Sclerosis (MS).

Visit 1. After informed consent, you will complete a series of questions about your functioning and mood. You will then complete a series of tests (vision, hand tapping, walking). Then, you will complete a set of thinking tests. The first set will be paper and pencil. The second set will be on a tablet or a computer. You will use your study code to sign into these tools and you won't provide any personal details for the digitized tests.

Finally, you will complete the ""cognitive training tool"". There are two versions of this digital, iPad based tool, which takes about 25 minutes to complete and is designed to be entertaining. You will be randomized into 1 of 2 groups: each group will play a version of the brain training game. You will not be told what group/game type you were randomized into. You will be given the tablet with the game on it to take home, and to practice this game 5 times a week for 6 weeks.

Visit 2. After the 6 weeks of at-home training, you will then come back to the research study unit to do a repeat of the initial visit (with physical and cognitive assessments). At this study visit, you will also be returning the iPad.

Visit 3. You will then return 8 weeks after Visit 2, to do a repeat of the assessments.

You will be compensated for each study visit (visit 1: $50, visit 2: $100, visit 3: $150).",Yes,No,Device,"A DIGITAL THERAPEUTIC TO IMPROVE THINKING IN MULTIPLE SCLEROSIS

WHO: 65 participants with a confirmed diagnosis of Multiple Sclerosis (MS)

WHY: Purpose of the study is to compare the effect of 2 tablet-based brain training digital tools on important components of thinking (cognition).

WHAT: Complete a set of tests (physical and cognitive) at baseline, 6 weeks and 14 weeks, and use one of two brain training tools on an iPad in your home, for 25 minutes a day, 5 days a week, for 6 weeks.

WHERE: UCSF WEILL INSTITUTE FOR NEUROSCIENCES (675 Nelson Rising Lane, San Francisco, CA)",Effect of a Digital Therapeutic on Processing Speed in Adults With Multiple Sclerosis,,Tablet-based game aimed at improving processing speed and attention.,Tablet-based Game,"""digital therapeutic"""
14,NCT03694327,Completed,2018-10-24,"Inclusion Criteria:

Male or female age 18 to 65
Fluent in written and spoken English (confirmed by ability to read and comprehend Informed Consent Form)
Lives in the United States
Smokes at least 5 cigarettes daily
Is interested in quitting in the next 30 days
The participant owns and has access to an iPhone with iOS 9 or greater capabilities, or an Android with OS 7 or greater capabilities
The participant is willing and able to receive SMS text messages on their smartphone
The participant is willing and able to receive email messages.
Ability to confirm download of installed treatment arm app via telephone on randomization date.
One half of the study sample will be recruited from the general population of smokers via social media advertisements
One half of the study sample will be recruited via mail form a Magellan Behavioral Health value-based care network

Exclusion Criteria:

Prior use of Treatment A Digital Intervention or Treatment B Digital Intervention
Current use of pharmacotherapy for smoking cessation or nicotine replacement therapy (NRT)",2019-03-14,Interventional,Innovative Digital Therapeutic for Smoking Cessation,Treatment,INDUSTRY,,"Given that tobacco smoking is the leading cause of preventable death in the US, the development of effective cessation programs is critical; mobile phone applications represent a novel, accessible platform for helping smokers quit. This research project seeks to compare the efficacy of two smoking cessation apps. In a blinded, randomized, controlled study, current smokers motivated to quit will use a smoking cessation app for 8 weeks.",Yes,No,Device	Device,This study is comparing the efficacy of two smoking cessation apps.,Clinical Trial of an Innovative Digital Therapeutic for Smoking Cessation With Biochemical Verification,,Mobile Application	Mobile Application,CT-101-M	QuitGuide,"""digital therapeutic"""
24,NCT05351866,Not yet recruiting,2022-08-01,"Inclusion Criteria:

Between the ages of 13 and 22
Moderate- severe self-reported symptoms of depression at baseline (PHQ-8 >= 5)
Have a comorbid medical condition and under the care of a healthcare provider at CHST
English fluency and literacy of adolescent and English or Spanish fluency and literacy of consenting legal guardian if under 18
Access to an eligible mobile device (capable of installing the app) and regular internet access
Willing to provide informed consent/assent and have legal guardian willing to provide informed consent (if required)

Exclusion Criteria:

Concurrent psychotherapy: Have met with a psychologist for intervention (not assessment) for 30 minutes or more, more than once in the 3 weeks prior to enrollment as determined by the study team
Change in psychotropic medication (initiation or change in dose) within the past 30 days prior to enrollment
Suicide attempt within the past year as determined at eligibility screening
Active suicidal ideation with intent as determined at eligibility screening
Previously participated in user testing or clinical testing of the Spark app",2024-08-01,Interventional,Feasibility and Acceptability of a Digital Therapeutic for Adolescent Depressive Symptoms,Treatment,INDUSTRY,OTHER,"The primary aims of the proposed research are to assess the feasibility, acceptability, and preliminary evidence of efficacy of a self-guided, cognitive behavioral therapy (CBT)-based mobile app intervention (SparkRx) for the treatment of adolescents presenting with symptoms of depression in specialty medical care settings (e.g.Hematology/Oncology, Weight Management, etc.) at Children's Health System of Texas (CHST).

These aims will be accomplished by evaluating:

Feasibility of recruiting and enrolling adolescents with mild to severe symptoms of depression from specialty care medical programs at CHST.

Retention, program adherence, completion, and withdrawal rates. Perceived utility, usability, and enjoyment of the program by adolescents Clinically significant changes between pre- to -post treatment and persistence of such gains at 1 month follow up.

Preliminary evidence of efficacy defined as a statistically significant difference in the eight-item Patient Health Questionnaire (PHQ-8) scores (p < 0.05) between Spark and an educational control at post-treatment.

Safety of the intervention, including rates of reported adverse events and adverse device effects Perceived usability and feasibility of the Provider Portal in aiding providers in monitoring participants' engagement, adherence, and depression symptoms remotely.",Yes,No,Device	Device,"The primary aims of the proposed research are to assess the feasibility, acceptability, and preliminary evidence of efficacy of a self-guided, cognitive behavioral therapy (CBT)-based mobile app intervention (SparkRx) for the treatment of adolescents presenting with symptoms of depression in specialty medical care settings (e.g.Hematology/Oncology, Weight Management, etc.) at Children's Health System of Texas (CHST).",Feasibility and Acceptability of a Digital Therapeutic for Adolescent Depressive Symptoms in Hematology/Oncology and Weight Management,MDD	Depression	Mental Health	Adolescent mental health,"SparkRx is a 5-week program divided into levels intended to be completed weekly. SparkRx is a behavioral activation program. Participants are instructed to complete a weekly Patient Health Questionnaire (PHQ)-8 assessment and participant symptom check (PSC) in the mobile app. Tasks in the mobile app progress in a linear fashion (i.e., each task must be completed to progress to the next task).	The control mobile application will consist of 5 weeks of neurobiology of depression content. Participants will be instructed to complete a weekly Patient Health Questionnaire (PHQ)-8 assessment and PSC in the mobile app.",Treatment	Control,"""digital therapeutic"""
